Country Name,Country Code,Series Name,Series Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Austria,AUT,"Population, total",SP.POP.TOTL,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8534492,..
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.701396116235274,0.747425220117069,0.519254261579197,0.345331646244521,0.349218946276921,0.446245581370136,0.581190352265189,0.554041398958361,0.170205767697282,-0.265319410736808,-0.176672284747108,0.0383904939016918,-0.080961041675265,-0.170463648025429,0.000105968279182431,0.255018231368981,0.0717170180347239,-0.161600981253917,-0.00629490409206624,0.0469509679089439,0.0635489974692431,0.0632842039083754,0.141570850318539,0.450513899730364,0.762001611316115,0.998418103144403,1.10055228652823,0.824627940995206,0.384869546678302,0.153106260702748,0.135019833748789,0.113316608322994,0.109728368100981,0.194563153264961,0.240466652446524,0.382799394483217,0.49198046425522,0.487133894826838,0.620413127334181,0.681267248299787,0.494797775098466,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.584103985990017,0.647909059253162,..
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83870,83879,83879,83879,83879,83879,83879,83879,83879,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,88.6663356744975,89.331533058852,89.7965972390409,90.1072293533543,90.4224509566481,90.8268588035844,91.3562727052555,91.8638290142892,92.0203196899976,91.7764955194963,91.6144950351175,91.6496730443207,91.5755025429886,91.4195325744732,91.4196294502301,91.6530636958101,91.7188181157665,91.5707193024946,91.5649551949625,91.6079559215306,91.6661903608622,91.7242189392105,91.8541656575442,92.2689149915234,92.9746912085251,93.9076168563817,94.9468273189634,95.7330225236135,96.1021797045289,96.2494308549285,96.3794744490191,96.4887503027367,96.5946839428433,96.7828045531606,97.0158149673044,97.3879026398644,97.8682126422863,98.3461249697263,98.9581738919835,99.6346451925406,100.128856866069,100.456380634067,100.771343457095,101.044228603263,101.299693559913,101.650350073891,102.132190453114,102.741697059287,103.409530964123,..
Austria,AUT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,10733894518.9912,11490052086.3633,12488031184.1324,13757221942.2534,15337165701.6963,17283616358.9116,20751978873.3491,27036839018.2967,35228934218.3386,41821019000.278,45063704038.2275,50209311344.0106,56779658236.1123,72348878860.2026,86212096278.1383,84274584613.0629,78360802239.9994,72344558548.6516,69851925138.6005,70569253427.9501,81585378350.5444,104236912457.619,136598054196.042,146501470492.086,157834043438.737,168507891934.249,191586114790.88,195900786534.845,206683505280.676,223259171273.899,239143118710.417,235442245890.037,222746195411.767,217454272294.354,213819474688.038,203194950197.595,201650389167.652,226881509264.128,274722862150.905,316760814878.67,341180283320.553,366637258997.239,406006202720.036,406433186136.548,412767213270.131,422163331171.53,420072127548.357,429075935453.339,423906165895.073,..
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1470,1560,1680,1850,2050,2300,2750,3560,4640,5520,5960,6630,7510,9580,11420,11130,10350,9570,9240,9330,10780,13760,18010,19230,20560,21730,24430,24780,26040,28090,30050,29550,27920,27210,26690,25270,24950,27940,33620,38500,41260,44200,48790,48710,49350,50310,49830,50600,49670,..
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150321926881.279,159824551369.486,167428490654.754,172365972080.778,180042602185.467,187685512840.417,195755832451.909,202872702621.76,212109678810.84,219788700987.581,234525737185.863,236882311751.374,251429273194.15,261003069002.172,275878653644.406,284535945234.904,312155894708.804,324859958751.382,344939671129.65,338931731760.19,353065737842.456,370671797664.718,378472076472.496,383702370400.565,391976970267.638,..
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19580,20610,21350,21800,22690,23610,24600,25460,26590,27500,29270,29450,31110,32140,33760,34580,37750,39160,41450,40620,42220,44170,44900,45250,45930,..
