Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Austria,AUT,"Population, total",SP.POP.TOTL,7677850,8011566,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8534492,..
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.762001611316115,0.240466652446524,0.494797775098466,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.584103985990017,0.647909059253162,..
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83870,83870,83870,83879,83879,83879,83879,83879,83879,83879,83879,..
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,92.9746912085251,97.0158149673044,100.128856866069,100.456380634067,100.771343457095,101.044228603263,101.299693559913,101.650350073891,102.132190453114,102.741697059287,103.409530964123,..
Austria,AUT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,157834043438.737,213819474688.038,341180283320.553,366637258997.239,406006202720.036,406433186136.548,412767213270.131,422163331171.53,420072127548.357,429075935453.339,423906165895.073,..
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20560,26690,41260,44200,48790,48710,49350,50310,49830,50600,49670,..
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,150321926881.279,234525737185.863,312155894708.804,324859958751.382,344939671129.65,338931731760.19,353065737842.456,370671797664.718,378472076472.496,383702370400.565,391976970267.638,..
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19580,29270,37750,39160,41450,40620,42220,44170,44900,45250,45930,..
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,..,..,8.58,7.98,7.98,7.67,8.04,7.83,7.78,..,..,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.5682926829269,78.1268292682927,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,80.890243902439,..,..
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.46,1.36,1.41,1.38,1.42,1.39,1.44,1.43,1.44,1.44,..,..
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,20.787,13.9232,11.57,11.126,10.6138,10.1016,9.5894,9.0772,8.565,7.972,7.379,..
Austria,AUT,Contraceptive prevalence (% of women ages 15-49),SP.DYN.CONU.ZS,..,..,..,..,..,69.6,..,..,..,..,..,..
Austria,AUT,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,9.5,5.5,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5
Austria,AUT,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,60,75,80,79,83,76,76,76,76,76,76,..
Austria,AUT,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,..,..,99.9847106933594,102.500343322754,100.257141113281,98.8521270751953,98.6147308349609,97.1898574829102,97.1894378662109,98.2616806030273,..,..
Austria,AUT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,102.42352,102.952079772949,101.434036254883,101.586776733398,100.721733093262,100.34561920166,100.150520324707,100.377090454102,101.207847595215,101.705940246582,..,..
